                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9316,                 4.7415,                 4.3284,                      0,                      0,                      0,                      0,                 2.9065,                 4.6944,                 4.1591,               7.69e-06,               7.69e-06,               7.69e-06
                      2,                 3.0844,                 4.7689,                 4.3133,                      0,                      0,                      0,                      0,                 2.9064,                 4.6947,                 4.1589,             2.2842e-05,             2.2842e-05,             2.2842e-05
                      3,                 2.7679,                 4.7473,                 4.2346,                      0,                      0,                      0,                      0,                 2.9104,                 4.6928,                 4.1592,             3.7689e-05,             3.7689e-05,             3.7689e-05
                      4,                 2.9971,                 4.7014,                 4.3547,                      0,                      0,                      0,                      0,                 2.9102,                 4.6928,                 4.1593,             5.2231e-05,             5.2231e-05,             5.2231e-05
                      5,                  3.585,                 4.7378,                  4.589,                      0,                      0,                      0,                      0,                 2.9131,                 4.6916,                 4.1595,             6.6469e-05,             6.6469e-05,             6.6469e-05
                      6,                 3.2616,                 4.7555,                 4.3232,                      0,                      0,                      0,                      0,                  2.917,                 4.6931,                 4.1593,             8.0403e-05,             8.0403e-05,             8.0403e-05
                      7,                 3.4465,                 4.6588,                 4.3881,                      0,                      0,                      0,                      0,                 2.9194,                 4.6935,                 4.1589,             9.4032e-05,             9.4032e-05,             9.4032e-05
                      8,                 3.0283,                 4.6486,                 4.2639,                      0,                      0,                      0,                      0,                 2.9176,                 4.6938,                 4.1597,             0.00010736,             0.00010736,             0.00010736
                      9,                 2.7752,                 4.6716,                 4.2176,                      0,                      0,                      0,                      0,                 2.9176,                 4.6938,                  4.159,             0.00012038,             0.00012038,             0.00012038
                     10,                 2.7887,                 4.5622,                 4.2983,                      0,                      0,                      0,                      0,                  2.921,                  4.695,                 4.1601,             0.00013309,             0.00013309,             0.00013309
                     11,                 2.8063,                 4.6477,                  4.235,                      0,                      0,                      0,                      0,                  2.921,                 4.6956,                 4.1607,              0.0001455,              0.0001455,              0.0001455
                     12,                 3.0936,                 4.6079,                 4.2594,                      0,                      0,                      0,                      0,                 2.9243,                 4.6982,                 4.1615,             0.00015761,             0.00015761,             0.00015761
                     13,                 2.8336,                 4.6227,                 4.1994,                      0,                      0,                      0,                      0,                 2.9316,                 4.7005,                 4.1617,             0.00016941,             0.00016941,             0.00016941
                     14,                 2.9782,                 4.6441,                 4.2038,                      0,                      0,                      0,                      0,                 2.9334,                 4.7042,                 4.1627,             0.00018091,             0.00018091,             0.00018091
                     15,                 2.7126,                 4.5265,                 4.1893,                      0,                      0,                      0,                      0,                 2.9366,                 4.7049,                 4.1637,              0.0001921,              0.0001921,              0.0001921
                     16,                 2.6891,                 4.5204,                 4.1608,                      0,                      0,                      0,                      0,                 2.9383,                 4.7096,                 4.1653,             0.00020299,             0.00020299,             0.00020299
                     17,                 2.5038,                 4.5115,                 4.1169,                      0,                      0,                      0,                      0,                 2.9393,                 4.7108,                 4.1672,             0.00021357,             0.00021357,             0.00021357
                     18,                 2.7657,                 4.3741,                  4.183,                      0,                      0,                      0,                      0,                 2.9434,                 4.7156,                 4.1686,             0.00022385,             0.00022385,             0.00022385
                     19,                 3.6995,                 4.2457,                 4.2054,                      0,                      0,                      0,                      0,                 2.9475,                 4.7217,                 4.1701,             0.00023383,             0.00023383,             0.00023383
                     20,                 3.2502,                 4.5808,                 4.1038,                      0,                      0,                      0,                      0,                 2.9463,                 4.7278,                 4.1711,              0.0002435,              0.0002435,              0.0002435
                     21,                 2.5597,                 4.5486,                 4.0499,                      0,                      0,                      0,                      0,                 2.9463,                 4.7328,                 4.1734,             0.00025286,             0.00025286,             0.00025286
                     22,                 2.6635,                  4.413,                 4.0566,                      0,                      0,                      0,                      0,                 2.9537,                 4.7366,                 4.1764,             0.00026192,             0.00026192,             0.00026192
                     23,                 2.6309,                 4.3671,                 4.0549,                      0,                      0,                      0,                      0,                 2.9554,                 4.7449,                 4.1786,             0.00027068,             0.00027068,             0.00027068
                     24,                 3.2216,                 4.1171,                 4.0443,                      0,                      0,                      0,                      0,                 2.9526,                 4.7518,                  4.181,             0.00027913,             0.00027913,             0.00027913
                     25,                 2.2991,                 4.1954,                 3.9529,                      0,                      0,                      0,                      0,                 2.9508,                 4.7567,                 4.1826,             0.00028728,             0.00028728,             0.00028728
                     26,                  2.307,                 4.3218,                 3.9282,                      0,                      0,                      0,                      0,                 2.9528,                  4.758,                 4.1828,             0.00029512,             0.00029512,             0.00029512
                     27,                  3.176,                 4.1035,                 3.9375,                      0,                      0,                      0,                      0,                 2.9505,                 4.7687,                 4.1823,             0.00030266,             0.00030266,             0.00030266
                     28,                 2.1453,                 4.2312,                 3.8531,                      0,                      0,                      0,                      0,                 2.9505,                 4.7687,                 4.1823,              0.0003099,              0.0003099,              0.0003099
                     29,                 2.6384,                 4.0077,                 3.9352,                      0,                      0,                      0,                      0,                 2.9519,                 4.7741,                 4.1816,             0.00031682,             0.00031682,             0.00031682
                     30,                 2.1679,                 4.0754,                 3.8202,                      0,                      0,                      0,                      0,                 2.9168,                 4.7702,                 4.1653,             0.00032345,             0.00032345,             0.00032345
                     31,                 2.1521,                 4.1483,                 3.8455,                      0,                      0,                      0,                      0,                 2.9168,                 4.7702,                 4.1653,             0.00032977,             0.00032977,             0.00032977
                     32,                 2.1934,                 3.9956,                  3.864,                      0,                      0,                      0,                      0,                 2.8683,                 4.7643,                 4.1365,             0.00033579,             0.00033579,             0.00033579
                     33,                  2.094,                 4.0648,                 3.8045,                      0,                      0,                      0,                      0,                 2.8107,                  4.756,                 4.0985,              0.0003415,              0.0003415,              0.0003415
                     34,                 2.4987,                 3.8123,                 3.8508,                      0,                      0,                      0,                      0,                 2.8107,                  4.756,                 4.0985,              0.0003469,              0.0003469,              0.0003469
                     35,                 2.4431,                 4.0315,                 3.8185,                      0,                      0,                      0,                      0,                 2.7924,                 4.7598,                 4.0842,             0.00035201,             0.00035201,             0.00035201
                     36,                  2.558,                 3.8696,                 3.8026,                      0,                      0,                      0,                      0,                 2.7953,                 4.7695,                 4.0834,              0.0003568,              0.0003568,              0.0003568
                     37,                 3.4544,                 3.8336,                 3.7317,                      0,                      0,                      0,                      0,                 2.7953,                 4.7695,                 4.0834,              0.0003613,              0.0003613,              0.0003613
                     38,                 2.4454,                 3.8276,                 3.7024,                      0,                      0,                      0,                      0,                 2.7884,                 4.7782,                 4.0766,             0.00036549,             0.00036549,             0.00036549
                     39,                 2.1313,                 3.5881,                 3.6272,                      0,                      0,                      0,                      0,                 2.7011,                 4.7624,                  4.013,             0.00036937,             0.00036937,             0.00036937
                     40,                 1.9371,                 3.7978,                 3.5495,                      0,                      0,                      0,                      0,                 2.7011,                 4.7624,                  4.013,             0.00037295,             0.00037295,             0.00037295
                     41,                 1.9602,                 3.7645,                 3.5232,                      0,                      0,                      0,                      0,                 2.6165,                 4.7492,                 3.9416,             0.00037623,             0.00037623,             0.00037623
                     42,                 2.0835,                 3.6381,                 3.4221,                      0,                      0,                      0,                      0,                 2.5428,                 4.7339,                 3.8671,              0.0003792,              0.0003792,              0.0003792
                     43,                 2.8552,                 3.8807,                 3.6022,                      0,                      0,                      0,                      0,                 2.5428,                 4.7339,                 3.8671,             0.00038186,             0.00038186,             0.00038186
                     44,                 3.1072,                 3.4089,                  3.499,                      0,                      0,                      0,                      0,                 2.4954,                  4.717,                 3.8106,             0.00038422,             0.00038422,             0.00038422
                     45,                 2.1917,                 3.6936,                  3.446,                      0,                      0,                      0,                      0,                 2.4954,                  4.717,                 3.8106,             0.00038628,             0.00038628,             0.00038628
                     46,                 1.9437,                  3.449,                 3.4412,                      0,                      0,                      0,                      0,                 2.4385,                 4.7156,                 3.7694,             0.00038803,             0.00038803,             0.00038803
                     47,                 1.7656,                 3.3397,                 3.2185,                      0,                      0,                      0,                      0,                 2.4385,                 4.7156,                 3.7694,             0.00038948,             0.00038948,             0.00038948
                     48,                 2.3651,                 3.7172,                 3.4338,                      0,                      0,                      0,                      0,                 2.3736,                 4.6901,                 3.7002,             0.00039063,             0.00039063,             0.00039063
                     49,                 1.8196,                 3.1495,                 3.2764,                      0,                      0,                      0,                      0,                 2.3736,                 4.6901,                 3.7002,             0.00039146,             0.00039146,             0.00039146
                     50,                 1.8342,                 3.2689,                 3.1853,                      0,                      0,                      0,                      0,                 2.3135,                 4.6349,                 3.6039,               0.000392,               0.000392,               0.000392
                     51,                 1.7435,                 3.2243,                  3.121,                      0,                      0,                      0,                      0,                 2.3135,                 4.6349,                 3.6039,             0.00038835,             0.00038835,             0.00038835
                     52,                 1.7931,                 3.3512,                 3.1455,                0.00041,                0.01525,                0.00059,                  8e-05,                 2.2761,                  4.599,                 3.5501,             0.00038835,             0.00038835,             0.00038835
                     53,                 2.0916,                 3.3753,                 3.1774,                0.00041,                0.01525,                0.00059,                  8e-05,                 2.2761,                  4.599,                 3.5501,             0.00038073,             0.00038073,             0.00038073
                     54,                 2.0742,                 3.3614,                 3.2906,                0.00356,                0.06474,                0.00472,                0.00085,                 2.2712,                 4.5219,                 3.5008,             0.00037312,             0.00037312,             0.00037312
                     55,                 1.7543,                 3.2416,                 3.0833,                0.00356,                0.06474,                0.00472,                0.00085,                 2.2712,                 4.5219,                 3.5008,             0.00036551,             0.00036551,             0.00036551
                     56,                 1.7953,                 3.2526,                 3.1026,                0.00561,                0.06529,                0.00581,                0.00078,                 2.2756,                 4.5949,                 3.5956,             0.00035789,             0.00035789,             0.00035789
                     57,                 1.9519,                 3.0824,                 3.2178,                0.00561,                0.06529,                0.00581,                0.00078,                 2.2756,                 4.5949,                 3.5956,             0.00035028,             0.00035028,             0.00035028
                     58,                 1.6497,                  3.118,                 3.0721,                0.00726,                0.08257,                0.00904,                0.00154,                 2.2978,                 4.5322,                 3.5856,             0.00034267,             0.00034267,             0.00034267
                     59,                 2.0037,                  3.548,                 3.1991,                0.00726,                0.08257,                0.00904,                0.00154,                 2.2978,                 4.5322,                 3.5856,             0.00033505,             0.00033505,             0.00033505
                     60,                 2.7815,                 3.4482,                 3.2894,                0.00847,                0.09672,                0.01375,                0.00302,                  2.309,                 4.4488,                 3.5606,             0.00032744,             0.00032744,             0.00032744
                     61,                 1.8157,                 3.2445,                 3.0502,                0.00847,                0.09672,                0.01375,                0.00302,                  2.309,                 4.4488,                 3.5606,             0.00031983,             0.00031983,             0.00031983
                     62,                  1.738,                 2.8987,                 3.0272,                0.35744,                0.09153,                0.01664,                0.00408,                 2.3227,                 4.2813,                 3.4766,             0.00031221,             0.00031221,             0.00031221
                     63,                 1.8519,                  3.105,                 2.9821,                0.35744,                0.09153,                0.01664,                0.00408,                 2.3227,                 4.2813,                 3.4766,              0.0003046,              0.0003046,              0.0003046
                     64,                 1.9115,                 2.9659,                 3.1024,                0.36825,                0.07176,                0.02117,                0.00546,                   2.34,                 4.1402,                 3.4042,             0.00029699,             0.00029699,             0.00029699
                     65,                 1.8482,                  2.748,                 2.9739,                0.36825,                0.07176,                0.02117,                0.00546,                   2.34,                 4.1402,                 3.4042,             0.00028937,             0.00028937,             0.00028937
                     66,                 1.8544,                 3.3551,                 3.1441,                0.38204,                0.11629,                0.02919,                0.00742,                 2.3291,                 4.0792,                 3.3278,             0.00028176,             0.00028176,             0.00028176
                     67,                 1.7961,                 2.9992,                 2.8577,                0.38204,                0.11629,                0.02919,                0.00742,                 2.3291,                 4.0792,                 3.3278,             0.00027415,             0.00027415,             0.00027415
                     68,                 1.6391,                 2.9902,                 2.7975,                0.42053,                0.08527,                0.04586,                0.01106,                 2.2636,                 3.9943,                 3.2845,             0.00026654,             0.00026654,             0.00026654
                     69,                 1.7842,                 3.2708,                  2.903,                0.42053,                0.08527,                0.04586,                0.01106,                 2.2636,                 3.9943,                 3.2845,             0.00025892,             0.00025892,             0.00025892
                     70,                 1.5244,                 2.8132,                 2.6527,                0.46265,                0.06269,                0.07797,                0.02102,                 2.1932,                 4.0162,                 3.2672,             0.00025131,             0.00025131,             0.00025131
                     71,                 1.8546,                 2.9395,                 2.9321,                0.46265,                0.06269,                0.07797,                0.02102,                 2.1932,                 4.0162,                 3.2672,              0.0002437,              0.0002437,              0.0002437
                     72,                 1.6209,                 2.9566,                 2.7069,                0.51407,                0.06836,                0.09872,                0.02944,                 2.1322,                 4.0587,                 3.2539,             0.00023608,             0.00023608,             0.00023608
                     73,                 1.4658,                 2.9132,                 2.6657,                0.51407,                0.06836,                0.09872,                0.02944,                 2.1322,                 4.0587,                 3.2539,             0.00022847,             0.00022847,             0.00022847
                     74,                 1.8536,                 2.9466,                  2.949,                 0.0396,                0.39146,                0.12909,                0.03803,                 2.0844,                 3.9652,                 3.1647,             0.00022086,             0.00022086,             0.00022086
                     75,                 1.4343,                 2.5859,                 2.6226,                 0.0396,                0.39146,                0.12909,                0.03803,                 2.0844,                 3.9652,                 3.1647,             0.00021324,             0.00021324,             0.00021324
                     76,                 1.4451,                 2.6909,                 2.6302,                0.04851,                0.49812,                0.16374,                 0.0537,                 2.0277,                 3.8344,                 3.0725,             0.00020563,             0.00020563,             0.00020563
                     77,                 1.4411,                 2.7823,                  2.567,                0.04851,                0.49812,                0.16374,                 0.0537,                 2.0277,                 3.8344,                 3.0725,             0.00019802,             0.00019802,             0.00019802
                     78,                 1.3887,                 2.7165,                 2.5804,                 0.0651,                0.69386,                0.22356,                 0.0807,                 2.0857,                 3.5463,                 2.9571,              0.0001904,              0.0001904,              0.0001904
                     79,                 1.8075,                 2.8714,                 2.8467,                 0.0651,                0.69386,                0.22356,                 0.0807,                 2.0857,                 3.5463,                 2.9571,             0.00018279,             0.00018279,             0.00018279
                     80,                 1.3704,                 2.6967,                 2.5475,                0.44691,                0.20646,                0.29394,                0.11765,                 2.0778,                 3.1153,                 2.8211,             0.00017518,             0.00017518,             0.00017518
                     81,                 2.4078,                 2.9512,                 2.8804,                0.44691,                0.20646,                0.29394,                0.11765,                 2.0778,                 3.1153,                 2.8211,             0.00016757,             0.00016757,             0.00016757
                     82,                 1.4397,                 2.5839,                 2.5561,                0.45518,                0.31311,                0.32273,                0.13501,                  2.008,                 2.8185,                 2.7357,             0.00015995,             0.00015995,             0.00015995
                     83,                 1.6787,                 2.7229,                 2.7515,                0.45518,                0.31311,                0.32273,                0.13501,                  2.008,                 2.8185,                 2.7357,             0.00015234,             0.00015234,             0.00015234
                     84,                 1.2968,                 2.5883,                 2.4676,                 0.4591,                 0.4074,                0.33679,                0.14647,                 1.9408,                 2.7228,                  2.687,             0.00014473,             0.00014473,             0.00014473
                     85,                 1.7225,                 2.6342,                 2.7511,                 0.4591,                 0.4074,                0.33679,                0.14647,                 1.9408,                 2.7228,                  2.687,             0.00013711,             0.00013711,             0.00013711
                     86,                 1.4537,                 2.5894,                 2.6011,                0.43665,                0.47007,                0.32952,                 0.1497,                 1.8309,                 2.6429,                 2.6338,              0.0001295,              0.0001295,              0.0001295
                     87,                 1.2473,                 2.4389,                  2.386,                0.43665,                0.47007,                0.32952,                 0.1497,                 1.8309,                 2.6429,                 2.6338,             0.00012189,             0.00012189,             0.00012189
                     88,                 1.4555,                 2.7449,                 2.5518,                0.42243,                0.47746,                0.32357,                0.15674,                 1.7334,                 2.5918,                 2.5927,             0.00011427,             0.00011427,             0.00011427
                     89,                 1.4784,                 2.4523,                 2.6043,                0.42243,                0.47746,                0.32357,                0.15674,                 1.7334,                 2.5918,                 2.5927,             0.00010666,             0.00010666,             0.00010666
                     90,                 1.5836,                 2.9273,                 2.7267,                0.40044,                0.44902,                0.31574,                0.16451,                 1.6328,                 2.5356,                 2.5344,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     91,                 1.7745,                 2.4696,                 2.7187,                0.40044,                0.44902,                0.31574,                0.16451,                 1.6328,                 2.5356,                 2.5344,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     92,                 1.3712,                 2.5803,                 2.4851,                0.40234,                0.44261,                0.33369,                0.18049,                 1.5755,                 2.4791,                 2.5047,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     93,                 1.6347,                 2.4843,                 2.6044,                0.40234,                0.44261,                0.33369,                0.18049,                 1.5755,                 2.4791,                 2.5047,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     94,                 1.3633,                 2.4996,                  2.426,                0.43874,                0.47316,                0.36836,                0.20143,                 1.5506,                 2.4324,                 2.4872,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     95,                 1.5982,                 2.3401,                  2.674,                0.43874,                0.47316,                0.36836,                0.20143,                 1.5506,                 2.4324,                 2.4872,             6.0982e-05,             6.0982e-05,             6.0982e-05
