                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 2.6787,                 3.3797,                 3.5825,                      0,                      0,                      0,                      0,                 2.2295,                  4.786,                 4.1606,             0.00054136,             0.00054136,             0.00054136
                     38,                 2.3711,                  3.426,                 3.3969,                      0,                      0,                      0,                      0,                 2.1881,                 4.7874,                 4.1289,             0.00055562,             0.00055562,             0.00055562
                     39,                 2.2172,                 3.2934,                 3.3393,                      0,                      0,                      0,                      0,                 2.2076,                 4.8045,                 4.1443,             0.00056985,             0.00056985,             0.00056985
                     40,                  2.409,                  3.228,                 3.3887,                      0,                      0,                      0,                      0,                 2.2076,                 4.8045,                 4.1443,             0.00058405,             0.00058405,             0.00058405
                     41,                 2.3394,                 3.1639,                 3.2951,                      0,                      0,                      0,                      0,                 2.1776,                 4.8073,                 4.1084,             0.00059822,             0.00059822,             0.00059822
                     42,                 2.4339,                 3.1348,                 3.2685,                      0,                      0,                      0,                      0,                  2.066,                 4.7767,                 3.9817,             0.00061236,             0.00061236,             0.00061236
                     43,                 1.9953,                 3.0715,                 3.0458,                      0,                      0,                      0,                      0,                  2.066,                 4.7767,                 3.9817,             0.00062647,             0.00062647,             0.00062647
                     44,                 2.2374,                 3.1319,                 3.1739,                      0,                      0,                      0,                      0,                 1.9334,                 4.7384,                 3.8266,             0.00064055,             0.00064055,             0.00064055
                     45,                 2.1206,                  3.068,                 3.0988,                      0,                      0,                      0,                      0,                 1.9334,                 4.7384,                 3.8266,              0.0006546,              0.0006546,              0.0006546
                     46,                 2.1973,                 3.1192,                 3.1039,                      0,                      0,                      0,                      0,                 1.9111,                 4.7214,                 3.7578,             0.00066861,             0.00066861,             0.00066861
                     47,                 2.0452,                 2.8313,                  2.935,                      0,                      0,                      0,                      0,                 1.9111,                 4.7214,                 3.7578,              0.0006826,              0.0006826,              0.0006826
                     48,                 2.1936,                 2.9357,                 3.0907,                      0,                      0,                      0,                      0,                 1.9476,                 4.7141,                 3.7588,             0.00069656,             0.00069656,             0.00069656
                     49,                 2.1005,                 2.7951,                 2.9783,                      0,                      0,                      0,                      0,                 1.9476,                 4.7141,                 3.7588,             0.00071048,             0.00071048,             0.00071048
                     50,                 2.2394,                  2.863,                 3.0116,                0.00235,                0.03439,                0.01401,                0.00412,                 1.8713,                 4.5832,                 3.5596,             0.00072438,             0.00072438,             0.00072438
                     51,                 1.7527,                 2.8499,                 2.8267,                0.00235,                0.03439,                0.01401,                0.00412,                 1.8713,                 4.5832,                 3.5596,             0.00073093,             0.00073093,             0.00073093
                     52,                 1.9348,                 2.8531,                 2.7943,                0.49981,                0.05256,                0.07562,                0.02206,                 1.8118,                 4.2679,                  3.332,             0.00073093,             0.00073093,             0.00073093
                     53,                 1.8656,                 2.7232,                  2.811,                0.49981,                0.05256,                0.07562,                0.02206,                 1.8118,                 4.2679,                  3.332,             0.00073017,             0.00073017,             0.00073017
                     54,                 1.9091,                 2.7243,                 2.8605,                0.40082,                0.10458,                0.09979,                0.03213,                 1.7735,                 3.9733,                 3.1366,             0.00072941,             0.00072941,             0.00072941
                     55,                 1.6927,                 2.6063,                 2.6691,                0.40082,                0.10458,                0.09979,                0.03213,                 1.7735,                 3.9733,                 3.1366,             0.00072865,             0.00072865,             0.00072865
                     56,                 1.7955,                 2.6519,                 2.7114,                0.47811,                0.06842,                  0.104,                0.03598,                 1.7653,                 3.9896,                 3.1122,             0.00072789,             0.00072789,             0.00072789
                     57,                 1.6576,                 2.5592,                 2.6157,                0.47811,                0.06842,                  0.104,                0.03598,                 1.7653,                 3.9896,                 3.1122,             0.00072713,             0.00072713,             0.00072713
                     58,                 1.6197,                 2.5847,                 2.6062,                0.05252,                0.45159,                0.15221,                0.03896,                 1.9075,                 3.9599,                 3.0687,             0.00072637,             0.00072637,             0.00072637
                     59,                 2.1619,                 2.7541,                 2.7696,                0.05252,                0.45159,                0.15221,                0.03896,                 1.9075,                 3.9599,                 3.0687,             0.00072561,             0.00072561,             0.00072561
                     60,                 1.9955,                 2.5667,                 2.7355,                0.08737,                0.53792,                0.19455,                0.06325,                 2.1253,                 3.4822,                 2.9241,             0.00072484,             0.00072484,             0.00072484
                     61,                 1.7293,                 2.4909,                 2.5707,                0.08737,                0.53792,                0.19455,                0.06325,                 2.1253,                 3.4822,                 2.9241,             0.00072408,             0.00072408,             0.00072408
                     62,                 1.7784,                 2.5449,                 2.6084,                  0.317,                0.29233,                0.21991,                0.07229,                 2.1702,                  3.445,                 2.9359,             0.00072332,             0.00072332,             0.00072332
                     63,                 1.6711,                 2.5286,                 2.5932,                  0.317,                0.29233,                0.21991,                0.07229,                 2.1702,                  3.445,                 2.9359,             0.00072256,             0.00072256,             0.00072256
                     64,                 1.5862,                 2.5365,                 2.5106,                0.28051,                0.31552,                0.23377,                0.07974,                  2.125,                 3.3378,                 2.9371,              0.0007218,              0.0007218,              0.0007218
                     65,                 1.6818,                 2.4535,                 2.4767,                0.28051,                0.31552,                0.23377,                0.07974,                  2.125,                 3.3378,                 2.9371,             0.00072104,             0.00072104,             0.00072104
                     66,                 1.6958,                 2.4483,                 2.5025,                0.34881,                0.31188,                0.30591,                0.10323,                 2.0608,                 3.0718,                 2.8367,             0.00072028,             0.00072028,             0.00072028
                     67,                 1.4883,                 2.3858,                 2.3692,                0.34881,                0.31188,                0.30591,                0.10323,                 2.0608,                 3.0718,                 2.8367,             0.00071951,             0.00071951,             0.00071951
                     68,                 1.4881,                 2.4114,                 2.4124,                0.38895,                0.32497,                0.37277,                0.12972,                 2.0119,                 2.9655,                 2.7561,             0.00071875,             0.00071875,             0.00071875
                     69,                 1.3879,                  2.347,                 2.3238,                0.38895,                0.32497,                0.37277,                0.12972,                 2.0119,                 2.9655,                 2.7561,             0.00071799,             0.00071799,             0.00071799
                     70,                 1.3953,                 2.3514,                 2.3497,                 0.4246,                 0.3459,                0.38428,                0.15041,                  2.048,                 2.9588,                 2.8022,             0.00071723,             0.00071723,             0.00071723
                     71,                 1.3467,                 2.3168,                 2.3516,                 0.4246,                 0.3459,                0.38428,                0.15041,                  2.048,                 2.9588,                 2.8022,             0.00071647,             0.00071647,             0.00071647
                     72,                 1.3206,                  2.321,                 2.3082,                0.39443,                0.24915,                0.33664,                0.12545,                  2.137,                 3.2269,                 2.9623,             0.00071571,             0.00071571,             0.00071571
                     73,                 1.6012,                 2.3361,                  2.321,                0.39443,                0.24915,                0.33664,                0.12545,                  2.137,                 3.2269,                 2.9623,             0.00071495,             0.00071495,             0.00071495
                     74,                 1.7664,                 2.3318,                 2.4356,                0.35949,                0.30692,                0.34916,                0.15906,                 1.7728,                 2.9523,                 2.7671,             0.00071419,             0.00071419,             0.00071419
                     75,                 1.4941,                 2.2918,                 2.3136,                0.35949,                0.30692,                0.34916,                0.15906,                 1.7728,                 2.9523,                 2.7671,             0.00071342,             0.00071342,             0.00071342
                     76,                 1.4026,                 2.3047,                  2.342,                0.32781,                0.47669,                0.35148,                0.21461,                 1.3591,                 2.7062,                 2.5156,             0.00071266,             0.00071266,             0.00071266
                     77,                 1.1874,                 2.2677,                 2.1653,                0.32781,                0.47669,                0.35148,                0.21461,                 1.3591,                 2.7062,                 2.5156,              0.0007119,              0.0007119,              0.0007119
                     78,                  1.309,                 2.3109,                 2.2881,                0.25966,                 0.4642,                0.28002,                0.16111,                 1.5049,                 2.8622,                 2.5114,             0.00071114,             0.00071114,             0.00071114
                     79,                 1.2434,                 2.3194,                 2.1802,                0.25966,                 0.4642,                0.28002,                0.16111,                 1.5049,                 2.8622,                 2.5114,             0.00071038,             0.00071038,             0.00071038
                     80,                 1.2697,                 2.2933,                 2.1938,                0.27554,                0.40059,                0.28526,                0.17488,                 1.3645,                 2.8204,                 2.3847,             0.00070962,             0.00070962,             0.00070962
                     81,                 1.2865,                 2.2607,                 2.1679,                0.27554,                0.40059,                0.28526,                0.17488,                 1.3645,                 2.8204,                 2.3847,             0.00070886,             0.00070886,             0.00070886
