                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8238,                 4.6793,                 4.3789,                      0,                      0,                      0,                      0,                 2.2907,                 4.6927,                 4.1587,               7.69e-06,               7.69e-06,               7.69e-06
                      2,                 3.6676,                 4.7077,                 4.3691,                      0,                      0,                      0,                      0,                 2.2907,                 4.6929,                 4.1584,             2.2842e-05,             2.2842e-05,             2.2842e-05
                      3,                 3.7026,                 4.6921,                 4.3826,                      0,                      0,                      0,                      0,                 2.2907,                 4.6903,                 4.1586,             3.7689e-05,             3.7689e-05,             3.7689e-05
                      4,                 3.4509,                 4.6673,                 4.3594,                      0,                      0,                      0,                      0,                 2.2925,                 4.6914,                 4.1587,             5.2231e-05,             5.2231e-05,             5.2231e-05
                      5,                 3.5757,                 4.6807,                 4.3343,                      0,                      0,                      0,                      0,                 2.2974,                 4.6911,                 4.1584,             6.6469e-05,             6.6469e-05,             6.6469e-05
                      6,                 3.6907,                 4.6448,                 4.3154,                      0,                      0,                      0,                      0,                  2.302,                 4.6914,                 4.1583,             8.0403e-05,             8.0403e-05,             8.0403e-05
                      7,                 3.4692,                 4.6352,                 4.3011,                      0,                      0,                      0,                      0,                 2.2974,                 4.6934,                 4.1574,             9.4032e-05,             9.4032e-05,             9.4032e-05
                      8,                 3.3843,                 4.5863,                 4.2833,                      0,                      0,                      0,                      0,                 2.2967,                 4.6952,                 4.1571,             0.00010736,             0.00010736,             0.00010736
                      9,                  3.555,                 4.5879,                 4.2456,                      0,                      0,                      0,                      0,                 2.2973,                 4.6959,                 4.1572,             0.00012038,             0.00012038,             0.00012038
                     10,                 3.3949,                 4.5495,                 4.2396,                      0,                      0,                      0,                      0,                 2.2994,                  4.696,                  4.157,             0.00013309,             0.00013309,             0.00013309
                     11,                  3.642,                 4.5446,                  4.204,                      0,                      0,                      0,                      0,                 2.3024,                 4.6969,                  4.157,              0.0001455,              0.0001455,              0.0001455
                     12,                 3.5127,                 4.5477,                 4.2047,                      0,                      0,                      0,                      0,                 2.3082,                 4.7017,                 4.1571,             0.00015761,             0.00015761,             0.00015761
                     13,                 3.2829,                 4.5307,                 4.1972,                      0,                      0,                      0,                      0,                 2.3071,                 4.7023,                 4.1569,             0.00016941,             0.00016941,             0.00016941
                     14,                 3.1861,                 4.5098,                 4.1663,                      0,                      0,                      0,                      0,                 2.3079,                 4.7076,                 4.1566,             0.00018091,             0.00018091,             0.00018091
                     15,                 3.4222,                 4.4664,                 4.1666,                      0,                      0,                      0,                      0,                 2.3108,                 4.7118,                 4.1566,              0.0001921,              0.0001921,              0.0001921
                     16,                  3.467,                 4.4496,                 4.1399,                      0,                      0,                      0,                      0,                 2.3158,                  4.715,                 4.1568,             0.00020299,             0.00020299,             0.00020299
                     17,                 3.5503,                 4.4211,                 4.1278,                      0,                      0,                      0,                      0,                 2.3189,                 4.7194,                 4.1573,             0.00021357,             0.00021357,             0.00021357
                     18,                 3.6022,                 4.3886,                 4.1346,                      0,                      0,                      0,                      0,                 2.3274,                 4.7237,                 4.1587,             0.00022385,             0.00022385,             0.00022385
                     19,                 3.0558,                 4.3636,                 4.1053,                      0,                      0,                      0,                      0,                 2.3306,                 4.7303,                 4.1597,             0.00023383,             0.00023383,             0.00023383
                     20,                 3.3707,                 4.3716,                 4.0929,                      0,                      0,                      0,                      0,                 2.3403,                 4.7363,                 4.1619,              0.0002435,              0.0002435,              0.0002435
                     21,                 3.1557,                 4.3502,                 4.1185,                      0,                      0,                      0,                      0,                 2.3414,                 4.7425,                 4.1634,             0.00025286,             0.00025286,             0.00025286
                     22,                 3.4577,                 4.2894,                 4.0084,                      0,                      0,                      0,                      0,                 2.3494,                 4.7494,                  4.164,             0.00026192,             0.00026192,             0.00026192
                     23,                 3.1655,                 4.2401,                 4.0295,                      0,                      0,                      0,                      0,                 2.3484,                 4.7567,                 4.1647,             0.00027068,             0.00027068,             0.00027068
                     24,                 3.1605,                  4.227,                  3.941,                      0,                      0,                      0,                      0,                 2.3555,                 4.7619,                 4.1659,             0.00027913,             0.00027913,             0.00027913
                     25,                 3.0131,                  4.185,                 3.9818,                      0,                      0,                      0,                      0,                 2.3609,                 4.7674,                 4.1692,             0.00028728,             0.00028728,             0.00028728
                     26,                 3.1328,                  4.176,                 3.9129,                      0,                      0,                      0,                      0,                 2.3727,                 4.7726,                 4.1734,             0.00029512,             0.00029512,             0.00029512
                     27,                 3.1229,                 4.1163,                  3.897,                      0,                      0,                      0,                      0,                 2.3961,                 4.7857,                 4.1847,             0.00030266,             0.00030266,             0.00030266
                     28,                 2.8586,                  4.106,                 3.8194,                      0,                      0,                      0,                      0,                 2.3961,                 4.7857,                 4.1847,              0.0003099,              0.0003099,              0.0003099
                     29,                 2.8834,                 4.0693,                 3.8421,                      0,                      0,                      0,                      0,                 2.4229,                 4.8022,                  4.201,             0.00031682,             0.00031682,             0.00031682
                     30,                 2.9401,                 4.0018,                 3.7207,                      0,                      0,                      0,                      0,                 2.4555,                 4.8181,                 4.2194,             0.00032345,             0.00032345,             0.00032345
                     31,                 2.9713,                  4.074,                 3.8119,                      0,                      0,                      0,                      0,                 2.4555,                 4.8181,                 4.2194,             0.00032977,             0.00032977,             0.00032977
                     32,                 2.9559,                 4.0783,                 3.7734,                      0,                      0,                      0,                      0,                 2.4842,                 4.8313,                 4.2353,             0.00033579,             0.00033579,             0.00033579
                     33,                 2.8694,                  3.968,                 3.6553,                      0,                      0,                      0,                      0,                 2.4979,                 4.8383,                 4.2453,              0.0003415,              0.0003415,              0.0003415
                     34,                 2.9301,                 3.9536,                 3.6865,                      0,                      0,                      0,                      0,                 2.4979,                 4.8383,                 4.2453,              0.0003469,              0.0003469,              0.0003469
                     35,                 2.9051,                   3.92,                 3.6459,                      0,                      0,                      0,                      0,                 2.4932,                 4.8435,                  4.242,             0.00035201,             0.00035201,             0.00035201
                     36,                 2.7252,                 3.8055,                  3.602,                      0,                      0,                      0,                      0,                 2.4759,                 4.8441,                 4.2321,              0.0003568,              0.0003568,              0.0003568
                     37,                 2.8227,                 3.8542,                 3.5953,                      0,                      0,                      0,                      0,                 2.4759,                 4.8441,                 4.2321,              0.0003613,              0.0003613,              0.0003613
                     38,                 2.6677,                 3.8095,                 3.5651,                      0,                      0,                      0,                      0,                 2.4455,                 4.8449,                 4.2179,             0.00036549,             0.00036549,             0.00036549
                     39,                 2.6633,                 3.8285,                 3.5754,                      0,                      0,                      0,                      0,                 2.4266,                 4.8468,                 4.2101,             0.00036937,             0.00036937,             0.00036937
                     40,                 2.3844,                 3.7377,                 3.5499,                      0,                      0,                      0,                      0,                 2.4266,                 4.8468,                 4.2101,             0.00037295,             0.00037295,             0.00037295
                     41,                 2.5951,                  3.624,                 3.4384,                      0,                      0,                      0,                      0,                 2.4016,                 4.8498,                 4.1974,             0.00037623,             0.00037623,             0.00037623
                     42,                 2.7253,                 3.5873,                 3.4034,                      0,                      0,                      0,                      0,                 2.3803,                 4.8507,                 4.1847,              0.0003792,              0.0003792,              0.0003792
                     43,                 2.6591,                 3.4696,                 3.3142,                      0,                      0,                      0,                      0,                 2.3803,                 4.8507,                 4.1847,             0.00038186,             0.00038186,             0.00038186
                     44,                 2.4631,                 3.4861,                 3.3443,                      0,                      0,                      0,                      0,                 2.3572,                 4.8499,                 4.1722,             0.00038422,             0.00038422,             0.00038422
                     45,                 2.4714,                 3.5906,                 3.3862,                      0,                      0,                      0,                      0,                 2.3572,                 4.8499,                 4.1722,             0.00038628,             0.00038628,             0.00038628
                     46,                 2.5196,                 3.3694,                 3.2437,                      0,                      0,                      0,                      0,                 2.3556,                 4.8551,                  4.166,             0.00038803,             0.00038803,             0.00038803
                     47,                 2.3855,                 3.4031,                 3.3431,                      0,                      0,                      0,                      0,                 2.3556,                 4.8551,                  4.166,             0.00038948,             0.00038948,             0.00038948
                     48,                 2.3398,                  3.428,                 3.3046,                      0,                      0,                      0,                      0,                 2.3325,                 4.8495,                 4.1472,             0.00039063,             0.00039063,             0.00039063
                     49,                 2.2757,                 3.3546,                 3.2431,                      0,                      0,                      0,                      0,                 2.3325,                 4.8495,                 4.1472,             0.00039146,             0.00039146,             0.00039146
                     50,                  2.399,                 3.3657,                 3.2522,                      0,                      0,                      0,                      0,                 2.2736,                 4.8345,                 4.1083,               0.000392,               0.000392,               0.000392
                     51,                 2.1535,                 3.2011,                 3.1119,                      0,                      0,                      0,                      0,                 2.2736,                 4.8345,                 4.1083,             0.00038835,             0.00038835,             0.00038835
                     52,                 2.3023,                 3.2753,                 3.1837,                      0,                      0,                      0,                      0,                 2.1921,                  4.814,                 4.0549,             0.00038835,             0.00038835,             0.00038835
                     53,                  2.165,                 3.1963,                   3.14,                      0,                      0,                      0,                      0,                 2.1921,                  4.814,                 4.0549,             0.00038073,             0.00038073,             0.00038073
                     54,                 2.1896,                 3.2281,                 3.0742,                      0,                      0,                      0,                      0,                 2.0883,                 4.7823,                  3.981,             0.00037312,             0.00037312,             0.00037312
                     55,                 2.1076,                 3.0951,                 3.0504,                      0,                      0,                      0,                      0,                 2.0883,                 4.7823,                  3.981,             0.00036551,             0.00036551,             0.00036551
                     56,                 2.1863,                 3.0983,                 3.0191,                      0,                      0,                      0,                      0,                 1.9994,                 4.7553,                  3.922,             0.00035789,             0.00035789,             0.00035789
                     57,                 2.1306,                 3.0059,                 2.9325,                      0,                      0,                      0,                      0,                 1.9994,                 4.7553,                  3.922,             0.00035028,             0.00035028,             0.00035028
                     58,                 2.1253,                 3.0586,                 3.0223,                0.00626,                0.01852,                0.01461,                0.00202,                 1.9573,                 4.7332,                 3.8854,             0.00034267,             0.00034267,             0.00034267
                     59,                 2.1339,                  2.975,                 2.9497,                0.00626,                0.01852,                0.01461,                0.00202,                 1.9573,                 4.7332,                 3.8854,             0.00033505,             0.00033505,             0.00033505
                     60,                 1.9673,                 2.9382,                 2.9007,                0.01071,                0.05891,                0.02734,                 0.0074,                 1.9107,                 4.6817,                 3.8217,             0.00032744,             0.00032744,             0.00032744
                     61,                 2.1147,                 2.9332,                 2.8377,                0.01071,                0.05891,                0.02734,                 0.0074,                 1.9107,                 4.6817,                 3.8217,             0.00031983,             0.00031983,             0.00031983
                     62,                 2.0716,                 2.8349,                 2.7866,                0.01929,                0.15485,                0.05833,                0.01815,                 1.8344,                 4.5265,                 3.6748,             0.00031221,             0.00031221,             0.00031221
                     63,                 2.0114,                 2.8162,                 2.7825,                0.01929,                0.15485,                0.05833,                0.01815,                 1.8344,                 4.5265,                 3.6748,              0.0003046,              0.0003046,              0.0003046
                     64,                   2.06,                 2.8477,                 2.7967,                0.46543,                0.12072,                0.08865,                0.02387,                 1.7459,                 4.4269,                 3.5596,             0.00029699,             0.00029699,             0.00029699
                     65,                 1.8279,                 2.7218,                 2.6913,                0.46543,                0.12072,                0.08865,                0.02387,                 1.7459,                 4.4269,                 3.5596,             0.00028937,             0.00028937,             0.00028937
                     66,                 1.9583,                 2.7708,                 2.7794,                0.04048,                0.44559,                0.16817,                0.03963,                 1.7733,                 4.2083,                 3.4123,             0.00028176,             0.00028176,             0.00028176
                     67,                 1.9318,                 2.6621,                 2.6826,                0.04048,                0.44559,                0.16817,                0.03963,                 1.7733,                 4.2083,                 3.4123,             0.00027415,             0.00027415,             0.00027415
